angle,label,score
88,Drawing,0.849298357963562
88,Sketch,0.7732500433921814
88,Tree,0.6869218349456787
88,Illustration,0.6017356514930725
88,Trunk,0.5200017690658569
89,Drawing,0.8983084559440613
89,Sketch,0.8340480923652649
89,Illustration,0.7175435423851013
89,Tree,0.6869218349456787
89,Art,0.5813031792640686
89,Artwork,0.5519563555717468
90,Drawing,0.9076038002967834
90,Sketch,0.8711481094360352
90,Eye,0.7865645289421082
90,Illustration,0.7175435423851013
90,Self-portrait,0.6202866435050964
90,Portrait,0.5929054021835327
90,Art,0.5813031792640686
90,Artwork,0.5519563555717468
91,Drawing,0.8641695380210876
91,Sketch,0.8282833695411682
91,Illustration,0.7175435423851013
91,Art,0.5813031792640686
91,Self-portrait,0.5689290165901184
91,Fictional character,0.5279175639152527
91,Artwork,0.5107235908508301
92,Drawing,0.8401148915290833
92,Sketch,0.7772866487503052
92,Tree,0.7469744682312012
92,Poster,0.6736226081848145
92,Illustration,0.6402102112770081
92,Wood,0.5958532094955444
92,Trunk,0.5889434814453125
92,Art,0.502187192440033
93,Drawing,0.8343995213508606
93,Sketch,0.7831593751907349
93,Headgear,0.7111897468566895
93,Tree,0.6869218349456787
93,Illustration,0.6225569844245911
93,Personal protective equipment,0.5925366282463074
93,Trunk,0.5200017690658569
94,Drawing,0.8358637690544128
94,Sketch,0.7648624777793884
94,Headgear,0.7111897468566895
94,Illustration,0.6017356514930725
94,Wood,0.5958532094955444
94,Art,0.502187192440033
95,Drawing,0.852958083152771
95,Sketch,0.7960912585258484
95,Tree,0.7469744682312012
95,Trunk,0.6207850575447083
95,Wood,0.5958532094955444
95,Illustration,0.5765818953514099
95,Art,0.502187192440033
96,Drawing,0.760521650314331
96,Tree,0.6869218349456787
96,Sketch,0.655890703201294
96,Beige,0.6367136240005493
96,Wood,0.5958532094955444
96,Pattern,0.5630630254745483
96,Illustration,0.5451834201812744
96,Rock,0.5422748923301697
96,Trunk,0.5200017690658569
97,Drawing,0.8182293772697449
97,Sketch,0.7490517497062683
97,Tree,0.6869218349456787
97,Illustration,0.5451834201812744
97,Rock,0.5422748923301697
97,Art,0.502187192440033
98,Drawing,0.7145826816558838
98,Tree,0.6869218349456787
98,Sketch,0.5973607301712036
98,Illustration,0.5765818953514099
98,Beige,0.5484284162521362
98,Rock,0.5422748923301697
98,Art,0.502187192440033
99,Drawing,0.7034391760826111
99,Beige,0.6886644959449768
99,Tree,0.6869218349456787
99,Sketch,0.6030424237251282
99,Illustration,0.5451834201812744
99,Rock,0.5422748923301697
99,Art,0.502187192440033
100,Drawing,0.7145826816558838
100,Sketch,0.6754698753356934
100,Headgear,0.6747809648513794
100,Beige,0.5993316173553467
100,Rock,0.5422748923301697
100,Illustration,0.5040763020515442
101,Drawing,0.6608409881591797
101,Beige,0.6367136240005493
101,Sketch,0.5659633874893188
101,Illustration,0.5040763020515442
102,Leaf,0.7594611644744873
102,Beige,0.7076348066329956
102,Wood,0.5958532094955444
102,Drawing,0.5764970183372498
103,Beige,0.7235488295555115
103,Drawing,0.6198696494102478
103,Wood,0.5958532094955444
103,Pattern,0.5630630254745483
103,Illustration,0.5040763020515442
104,Drawing,0.6518564820289612
104,Beige,0.6367136240005493
104,Wood,0.5958532094955444
104,Sketch,0.5791703462600708
104,Rock,0.5422748923301697
104,Illustration,0.5040763020515442
105,Drawing,0.7145826816558838
105,Sketch,0.6384519934654236
105,Wood,0.5958532094955444
105,Rock,0.5422748923301697
105,Illustration,0.5040763020515442
106,Drawing,0.6909903883934021
106,Sketch,0.6338061094284058
106,Wood,0.5958532094955444
106,Rock,0.5422748923301697
106,Illustration,0.5040763020515442
107,Leaf,0.7594611644744873
107,Rock,0.6981205940246582
107,Tree,0.6869218349456787
107,Drawing,0.6769310235977173
107,Geology,0.6497763991355896
